sideslip,C_L,C_S,C_D,C_roll,C_pitch,C_yaw,Rey,vw,aoa_kite,C_L_std,C_S_std,C_D_std,C_roll_std,C_pitch_std,C_yaw_std,aoa
6.0,0.19280535563913928,-0.05512351197023484,0.6686923338061733,-0.012446662917483082,-0.942064527748004,-0.3237279603612702,279293.7126992058,10.0,-11.3,0.21916798170329976,0.07652208603291066,0.07965077536087094,0.16146623686116035,0.5446560697992129,0.17501426681158705,-12.2
8.0,0.19323120331605742,-0.059580929280946375,0.6961656917798339,0.024890756163813796,-0.951444984962908,-0.3855089271312437,279572.1710368919,10.0,-11.3,0.22339686120187988,0.0849275934890659,0.09015262356942665,0.18269284006463485,0.5543527319685965,0.18856973219503254,-12.2
10.0,0.19566194114112648,-0.08154553338068347,0.7267656169190596,0.047887330529563864,-0.9709182091587216,-0.46889587309303193,279293.7126992058,10.0,-11.3,0.2164837897381714,0.08699311378163026,0.10219687884657266,0.16984529411795174,0.5376605746071149,0.1879122611798818,-12.2
12.0,0.19577433872632607,-0.11441171658295901,0.7552182335981983,0.056164561737629286,-0.9798936458452456,-0.5711988212861214,279315.27461961075,10.0,-11.3,0.2153856406384133,0.061477960512448866,0.0710946847667184,0.1658583773052578,0.5282110177240242,0.14920533117831727,-12.2
14.0,0.20031091275141905,-0.15457416227384063,0.7847000673276522,0.05560182994135227,-0.9987019781340343,-0.6882815744645027,279315.27461961075,10.0,-11.3,0.21680482628255943,0.07632904475823951,0.08485618732638457,0.17748417044864612,0.529976449269107,0.16283179680549587,-12.2
20.0,0.20870455383412156,-0.26172757831699844,0.890715682549081,0.049124348049193654,-1.0807593580295671,-1.0538082576882983,279315.27461961075,10.0,-11.3,0.22020942210734618,0.07485839648735787,0.07825115519519128,0.22517619633212485,0.5251236147162791,0.16856674651377548,-12.2
-20.0,0.2043913842534567,0.25188940369493645,0.8744214746365774,-0.07986452529833883,-1.0089377700337816,1.031349947637292,416617.63543052814,15.0,-11.3,0.10560436744730832,0.08276548103322276,0.09343849367940354,0.22416259615407955,0.26805347925073153,0.20923288065825554,-12.2
-14.0,0.19668144715318137,0.1459811801288697,0.7741381674281353,-0.08554636781995537,-0.9486283684359379,0.6756213046269217,416585.4941970175,15.0,-11.3,0.10305691750133543,0.093029383772853,0.07032381764276809,0.24894261767802764,0.2675579319489726,0.2216521954314396,-12.2
-12.0,0.19104162569933364,0.10790046964150837,0.7422261779563935,-0.08836621655268752,-0.9223572851068673,0.5613965440197436,416585.4941970175,15.0,-11.3,0.11432778400706606,0.090117232365916,0.09902445431377395,0.2528707162078438,0.2918677179817781,0.21658262613783333,-12.2
-10.0,0.1868735311158488,0.0699029817120971,0.7113551229325351,-0.08863986521046106,-0.9048870027796259,0.4513840704236401,416937.3400536028,15.0,-11.3,0.10613136393287739,0.09369602953610541,0.07534787198911824,0.24587075558319696,0.27586158547032896,0.22178925974502653,-12.2
-8.0,0.19017948589644004,0.05471121649713396,0.6872884901564669,-0.060390923973419705,-0.9135519365617156,0.3837565047415977,417214.92816282617,15.0,-11.3,0.09917902524324827,0.07962851436806714,0.06985128346235228,0.215683670018081,0.2569644140818631,0.19687241823824203,-12.2
-6.0,0.18989958344763136,0.055877751934658576,0.6548988659524625,-0.023875972654567996,-0.9033928739149515,0.32438836599424653,416905.1727139192,15.0,-11.3,0.10273445484190576,0.08099215762926465,0.08448838033947374,0.20253154643579047,0.26723425451890603,0.18834585362248066,-12.2
-4.0,0.19660226940581776,0.06212878887816714,0.6447790696885956,-0.008227193569668362,-0.9217480345010064,0.27577383367603936,416905.1727139192,15.0,-11.3,0.1103205819805921,0.09455507693976566,0.11277849008068075,0.25375753827894576,0.2986790776000626,0.22476725747859422,-12.2
-2.0,0.19734533719517308,0.04111927550611019,0.6288917519079793,-0.005007795343686166,-0.9103671213024085,0.1586829244407777,416905.1727139192,15.0,-11.3,0.10520815792254473,0.08563222785024634,0.08613231310312412,0.22566097527662993,0.27751814841871264,0.20584205010674977,-12.2
-0.0,0.19782217182387388,0.005870544102506749,0.6250399501961907,-0.006619836405865655,-0.9130966000269422,0.0073296843149589005,416873.0064181905,15.0,-11.3,0.10686001269763426,0.07671066807494871,0.09653356308604294,0.20463100737561604,0.28604156195289054,0.18717807719964197,-12.2
2.0,0.19958963349307848,-0.030316118207871254,0.6298126165910546,-0.013369391725640124,-0.9204325370505724,-0.1431220588865291,416873.0064181905,15.0,-11.3,0.10742825563789284,0.08473571662462749,0.0892735247144234,0.21989467533026757,0.2860602623750928,0.20185978369412155,-12.2
4.0,0.19692057067442345,-0.04215710564360441,0.637812631769532,-0.009719921313487966,-0.9231862686245064,-0.23386299514465564,417224.79798478814,15.0,-11.3,0.10614461261923154,0.09517803264508132,0.08681700032661287,0.23456110701835334,0.27694537849819634,0.2215742251356437,-12.2
6.0,0.20191352473793406,-0.04926526554743693,0.6646069581654235,0.0018134132148595284,-0.9537175024317497,-0.3075773096577246,417470.3636528171,15.0,-11.3,0.09997990740414173,0.07540185221505594,0.0933133576364383,0.20164593885515816,0.2602025484040882,0.18605498429559084,-12.2
8.0,0.20232284557302432,-0.051422439372266794,0.6949587296159724,0.04232702575086088,-0.96508362302019,-0.3664991475139642,417192.6055931678,15.0,-11.3,0.10148861608319203,0.08189753195682643,0.08318976675543206,0.2156609387633582,0.26977081179320284,0.19503596655143413,-12.2
10.0,0.20447682219844354,-0.07050561043146603,0.7256770725085874,0.0721988677736737,-0.9832851368834368,-0.44294573892285904,417160.41425404086,15.0,-11.3,0.1027734543494046,0.09286840694133648,0.08576313192002658,0.2505597177370699,0.2822220637182684,0.22659480651857777,-12.2
12.0,0.20706724930199089,-0.10862006555741614,0.7534555828091829,0.07911483039922465,-0.9949890168719135,-0.5519557080394636,417160.41425404086,15.0,-11.3,0.10967368500865922,0.11189266419107147,0.09002732303842062,0.303373903634929,0.2964525871608574,0.26673347143192466,-12.2
14.0,0.21143359788478314,-0.14493271497368357,0.7876677112932527,0.08150572247018208,-1.0221849555604838,-0.6667081773732816,417128.2239712446,15.0,-11.3,0.11185016351445017,0.12394179301266801,0.09544848448682165,0.2859523474219664,0.30368891696150135,0.2692380003894146,-12.2
